year,naics_4,dmarkup
2012,325320,.031388879
2013,325320,-.017054439
2014,325320,-.015377045
2015,325320,-.00017547607
2001,325520,-.032534003
2002,325520,-.012093663
2003,325520,-.011454701
2004,325520,.00019419193
2005,325520,-.0053111315
2006,325520,.029350996
2007,325520,.030632854
2008,325520,-.041677952
2009,325520,.031470418
2010,325520,.0034536123
2011,325520,-.0039219856
2012,325520,.001737237
2013,325520,.0035967827
2014,325520,-.0071541071
2015,325520,.0071128607
2001,325611,-.0034242868
2002,325611,.0018491745
2003,325611,.02018714
2004,325611,.050464392
2005,325611,-.0125072
2006,325611,.036264777
2007,325611,.070905089
2008,325611,-.033457994
2009,325611,.0041167736
2010,325611,.04763937
2011,325611,-.056831837
2012,325611,-.011879921
2013,325611,.0075087547
2014,325611,-.017591
2015,325611,.023236513
2001,325612,-.027093887
2002,325612,.023376465
2003,325612,.067676306
2004,325612,.0018849373
2005,325612,-.037742853
2006,325612,-.0011970997
2007,325612,.019426823
2008,325612,-.042923212
2009,325612,.022138715
2010,325612,.028724194
2011,325612,-.033257246
2012,325612,-.021925569
2013,325612,.014018059
2014,325612,.016817093
2015,325612,.04592514
2001,325613,-.012348652
2002,325613,.014473081
2003,325613,-.032449067
2004,325613,-.022133589
2005,325613,-.0084157586
2006,325613,-.0055363178
2007,325613,.00046384335
2008,325613,-.00022113323
2009,325613,.083300591
2010,325613,-.017432451
2011,325613,-.023310959
2012,325613,.028903782
2013,325613,-.012648523
2014,325613,-.016634703
2015,325613,.053549349
2001,325992,-.022585034
2002,325992,-.029098868
2003,325992,.0081318617
2004,325992,-.023049474
2005,325992,.04468143
2006,325992,.0074248314
2007,325992,.00067293644
2008,325992,-.066495776
2009,325992,.056153655
2010,325992,-.014196157
2011,325992,-.049335599
2012,325992,-.049924016
2013,325992,-.033811331
2014,325992,-.0088707209
2015,325992,.018998861
2001,325998,-.029376745
2002,325998,.072317362
2003,325998,-.023560405
2004,325998,-.019734383
2005,325998,-.031679153
2006,325998,.0085258484
2007,325998,.013660192
2008,325998,-.013877749
2009,325998,.013907194
2010,325998,.067373037
2011,325998,-.085180044
2012,325998,.065904021
2013,325998,.028843999
2014,325998,-.014366031
2015,325998,.082733989
2001,326112,.020262837
2002,326112,.0078164339
2003,326112,.012582779
2004,326112,-.010426521
2005,326112,.0079387426
2006,326112,-.042440057
2007,326112,-.002340436
2008,326112,.0042963028
2009,326112,.0065419674
2010,326112,.016983509
2011,326112,.0029317141
2012,326112,-.00096726418
2013,326112,.011205316
2014,326112,.0085189342
2015,326112,.013128161
2001,326113,-.0018888712
2002,326113,.018908381
2003,326113,-.025480747
2004,326113,-.015739679
2005,326113,-.027730823
2006,326113,-.0015079975
2007,326113,.030238986
2008,326113,-.040562391
2009,326113,.063208818
2010,326113,-.037111878
2011,326113,.014263034
2012,326113,.077535391
2013,326113,-.0014320612
2014,326113,.021070361
2015,326113,.033130288
2001,326140,-.017625928
2002,326140,.027607083
2003,326140,-.0043596029
2004,326140,-.089426756
2005,326140,-.034465492
2006,326140,.029986858
2007,326140,-.010101855
2008,326140,.041300893
2009,326140,.07371664
2010,326140,.041762471
2011,326140,-.028076053
2012,326140,-.040843606
2013,326140,.013909698
2014,326140,-.036287665
2015,326140,.01181829
2001,326211,-.016402483
2002,326211,.0019772053
2003,326211,-.012904048
2004,326211,.029521942
2005,326211,-.0017443895
2006,326211,-.054141998
2007,326211,.033381462
2008,326211,-.030032158
2009,326211,.0024601221
2010,326211,.015064478
2011,326211,-.0084661245
2012,326211,.019296169
2013,326211,.040434003
2014,326211,.030596733
2015,326211,.045788169
2001,326212,.011807203
2002,326212,-.0115242
2003,326212,.007368207
2004,326212,-.0028089285
2005,326212,-.0015304089
2006,326212,.0039987564
2007,326212,-.0085753202
2008,326212,.0082232952
2009,326212,.019002438
2010,326212,-.015346766
2011,326212,.0017734766
2012,326212,-.03986609
2013,326212,.019310117
2014,326212,.031709909
2015,326212,.041482568
2001,326299,.062641263
2002,326299,-.017535925
2003,326299,.02760613
2004,326299,.043018937
2005,326299,-.025976181
2006,326299,.035871863
2007,326299,.0017771721
2008,326299,.00436759
2009,326299,.022016883
2010,326299,.011289597
2011,326299,-.023793578
2012,326299,.05113399
2013,326299,.025055766
2014,326299,-.011542439
2015,326299,.01912272
2001,327212,-.065542817
2002,327212,-.03971374
2003,327212,-.027750015
2004,327212,-.013029575
2005,327212,-.049810946
2006,327212,.033249795
2007,327212,.022226334
2008,327212,-.03907305
2009,327212,.028672516
2010,327212,.037934542
2011,327212,-.0030223131
2012,327212,.041586399
2013,327212,.0035346746
2014,327212,-.015943885
2015,327212,.0070232153
2001,327213,.0024344921
2002,327213,-.023661852
2003,327213,-.032166958
2004,327213,-.007265687
2005,327213,.021836877
2006,327213,-.022669315
2007,327213,.030266285
2008,327213,.0026786327
2009,327213,-.011538386
2010,327213,-.0059951544
2011,327213,-.020820856
2012,327213,.0073859692
2013,327213,-.013276577
2014,327213,.0029244423
2015,327213,-.0069601536
2001,327310,.0032807589
2002,327310,-.0023243427
2003,327310,-.0040297508
2004,327310,.015013456
2005,327310,.0055562258
2006,327310,-.035365582
2007,327310,.0078061819
2008,327310,-.011674047
2009,327310,-.01112318
2010,327310,-.0043781996
2011,327310,-.028157353
2012,327310,.0035010576
2013,327310,-.013416648
2014,327310,.019974828
2015,327310,.055827498
2001,327390,.031779647
2002,327390,.012310505
2003,327390,-.050033689
2004,327390,.031073093
2005,327390,.06281662
2006,327390,-.050221443
2007,327390,.011662126
2008,327390,-.071389794
2009,327390,-.0076509714
2010,327390,.0041137934
2011,327390,.022990942
2012,327390,.016070604
2013,327390,-.0019056797
2014,327390,.020452023
2015,327390,.027130127
2001,327992,-.076615572
2002,327992,-.054556549
2003,327992,.018402159
2004,327992,.0273875
2005,327992,-.028311729
2006,327992,-.03692925
2007,327992,.037902653
2008,327992,-.02535677
2009,327992,.017191231
2010,327992,.021977425
2011,327992,-.0015792847
2012,327992,.036941051
2013,327992,.026567578
2014,327992,-.049735188
2015,327992,-.037253618
2001,327993,-.0083123446
