year,naics_4,dherfindahl
2007,325199,.082446814
2008,325199,-.0056649446
2009,325199,-.094569162
2010,325199,-.0009457171
2011,325199,.034705535
2012,325199,-.053540066
2013,325199,-.0043672919
2014,325199,.0054302663
2015,325199,-.014209032
2001,325211,.038457513
2002,325211,.015112102
2003,325211,.022109389
2004,325211,.10790166
2005,325211,.029791296
2006,325211,.0039629936
2007,325211,.0059963465
2008,325211,.0032645464
2009,325211,.1329307
2010,325211,-.098191381
2011,325211,.040256858
2012,325211,-.026291549
2013,325211,-.087313741
2014,325211,-.00084939599
2015,325211,-.024487406
2001,325212,0
2002,325212,0
2003,325212,0
2004,325212,0
2005,325212,0
2006,325212,0
2007,325212,0
2008,325212,0
2009,325212,0
2010,325212,0
2011,325212,-1.1920929e-07
2012,325212,1.1920929e-07
2013,325212,0
2014,325212,0
2015,325212,0
2001,325320,-.17343229
2002,325320,-.065288186
2003,325320,.0034030378
2004,325320,.15277627
2005,325320,-.0082474351
2006,325320,.0249964
2007,325320,.24744505
2008,325320,-.0065593123
2009,325320,-.0025626421
2010,325320,-.0045081377
2011,325320,-.072491348
2012,325320,-.015039384
2013,325320,.0017822385
2014,325320,.027465761
2015,325320,-.044998407
2001,325520,-.022149086
2002,325520,.21183407
2003,325520,-.01061058
2004,325520,.29217184
2005,325520,-.022050798
2006,325520,-.062957466
2007,325520,-.070020378
2008,325520,-.049843788
2009,325520,.077049971
2010,325520,-.018956661
2011,325520,-.045909643
2012,325520,.00030237436
2013,325520,-.036669731
2014,325520,-.023782253
2015,325520,.032733381
2001,325611,.0026324987
2002,325611,-.031884551
2003,325611,-.011728287
2004,325611,.044526339
2005,325611,-.0028840899
2006,325611,.02701205
2007,325611,.019372463
2008,325611,-.0014172792
2009,325611,-.010868132
2010,325611,-.0036504269
2011,325611,.036046088
2012,325611,-.0029407144
2013,325611,-.0054655671
2014,325611,-.0026372671
2015,325611,-.0066320896
2001,325612,.075415671
2002,325612,-.022855073
2003,325612,-.0010838807
2004,325612,.00077605247
2005,325612,-.049002141
2006,325612,.0089133978
2007,325612,.0031436086
2008,325612,.0048564374
2009,325612,.002494067
2010,325612,-.024857849
2011,325612,.004699409
2012,325612,.071542084
2013,325612,.015938878
2014,325612,.013817668
2015,325612,.04255861
2001,325613,-.00052535534
2002,325613,-.0012199879
2003,325613,.00063300133
2004,325613,.0015124083
2005,325613,.003151536
2006,325613,.0004901886
2007,325613,.0015200377
2008,325613,.0038135052
2009,325613,-.0037146807
2010,325613,.00058460236
2011,325613,.0046775341
2012,325613,-.00095105171
2013,325613,.00057387352
2014,325613,-.00056672096
2015,325613,-.0005645752
2001,325992,.0062973499
2002,325992,.019179106
2003,325992,.0055714846
2004,325992,-.0053992271
2005,325992,.051049709
2006,325992,0
2007,325992,0
2008,325992,0
2009,325992,0
2010,325992,0
2011,325992,0
2012,325992,0
2013,325992,0
2014,325992,0
2015,325992,0
2001,325998,.002949819
2002,325998,-.026447132
2003,325998,.00099819899
2004,325998,.002683267
2005,325998,.024437919
2006,325998,.013385728
2007,325998,.0083821863
2008,325998,.046574473
2009,325998,-.028104961
2010,325998,-.02099213
2011,325998,.06220302
2012,325998,.033032835
2013,325998,.00073993206
2014,325998,.0026333332
2015,325998,.10067633
2001,326112,-.20177653
2002,326112,.038977414
2003,326112,.080887437
2004,326112,-.011221945
2005,326112,-.0021440983
2006,326112,-.016866505
2007,326112,-.037944913
2008,326112,.067629516
2009,326112,-.0071858764
2010,326112,-.030454516
2011,326112,.061469793
2012,326112,-.0054833293
2013,326112,.036799967
2014,326112,.0045976639
2015,326112,.0019054413
2001,326113,.016225904
2002,326113,.0043427646
2003,326113,.0088507831
2004,326113,-.0090984106
2005,326113,.026510119
2006,326113,-.0088836551
2007,326113,.12917614
2008,326113,.0092425346
2009,326113,.01048255
2010,326113,-.071882367
2011,326113,.019757688
2012,326113,.055224061
2013,326113,.0031283498
2014,326113,.043950438
2015,326113,.0011036396
2001,326140,.035991967
2002,326140,.016735375
2003,326140,.0085242391
2004,326140,-.0065589547
2005,326140,.0024757981
2006,326140,-.0068149567
2007,326140,.0064281225
2008,326140,.1926111
2009,326140,-.23927295
2010,326140,-.042218447
2011,326140,-.00057554245
2012,326140,.28206694
2013,326140,0
2014,326140,0
2015,326140,0
2001,326211,.013073087
2002,326211,-.0092431903
2003,326211,.015472233
2004,326211,.11589682
2005,326211,.0047661066
2006,326211,-.027152419
2007,326211,.0417853
2008,326211,.0015845299
2009,326211,-.024411798
2010,326211,-.0083931088
2011,326211,.006111145
2012,326211,-.026982069
2013,326211,.023366034
2014,326211,-.012729287
2015,326211,.0077890158
2001,326212,-1.1920929e-07
2002,326212,0
2003,326212,1.1920929e-07
2004,326212,-1.1920929e-07
2005,326212,1.1920929e-07
2006,326212,0
2007,326212,0
2008,326212,0
2009,326212,0
2010,326212,0
2011,326212,0
2012,326212,-1.1920929e-07
2013,326212,1.1920929e-07
2014,326212,0
2015,326212,0
2001,326299,.061969504
2002,326299,.0043122768
2003,326299,.040925026
2004,326299,.184843
2005,326299,.04536432
2006,326299,.043044031
2007,326299,.021028817
2008,326299,-.028395534
2009,326299,.036107421
2010,326299,-.012322068
2011,326299,-.030544817
2012,326299,.043426156
2013,326299,.01296258
2014,326299,-.041539729
2015,326299,-.039074004
2001,327212,.0029898882
2002,327212,-.0045076609
2003,327212,.064126134
2004,327212,0
2005,327212,-1.1920929e-07
2006,327212,1.1920929e-07
2007,327212,0
2008,327212,-1.1920929e-07
2009,327212,1.1920929e-07
2010,327212,0
2011,327212,0
2012,327212,0
2013,327212,0
2014,327212,-1.1920929e-07
2015,327212,0
2001,327213,-.016803324
2002,327213,.0058214664
2003,327213,.0056016445
2004,327213,.052976906
2005,327213,.19365877
2006,327213,0
2007,327213,0
2008,327213,0
2009,327213,0
2010,327213,0
2011,327213,0
2012,327213,0
2013,327213,-.0019865036
2014,327213,-.00042498112
2015,327213,-.00031876564
2001,327310,-.0070038438
2002,327310,.021653831
2003,327310,.0023464859
2004,327310,.00064584613
2005,327310,-.013753742
2006,327310,.0068408251
2007,327310,.015935063
2008,327310,.0076951385
2009,327310,-.0020130575
2010,327310,-.0027274489
2011,327310,-.04018864
2012,327310,-.0012471378
2013,327310,.048762441
2014,327310,.0012199581
2015,327310,.19631737
2001,327390,.037716985
2002,327390,-.0014392734
2003,327390,-.24369109
2004,327390,-.022033513
2005,327390,.024380863
2006,327390,.032667875
2007,327390,-.0086966753
2008,327390,-.039900273
2009,327390,-.0094886422
2010,327390,-.00075027347
2011,327390,.43591458
2012,327390,.010260105
2013,327390,-.00017678738
2014,327390,.0193187
2015,327390,-.0074875355
2001,327992,0
2002,327992,0
2003,327992,0
2004,327992,0
2005,327992,0
2006,327992,-1.1920929e-07
2007,327992,1.1920929e-07
2008,327992,0
2009,327992,0
2010,327992,0
2011,327992,0
2012,327992,0
2013,327992,0
2014,327992,0
2015,327992,-.49156845
2001,327993,0
2002,327993,0
2003,327993,0
2004,327993,-.47181553
2005,327993,.010953486
2006,327993,.0079810619
2007,327993,-.033092618
2008,327993,.021241188
2009,327993,.00031846762
2010,327993,.0056911111
2011,327993,.0043529272
2012,327993,.0080645084
2013,327993,-.002081275
2014,327993,.011161864
2015,327993,.0083237886
2001,331221,.020128161
2002,331221,.074514747
2003,331221,-.0115408
2004,331221,.0024320483
2005,331221,.017215788
2006,331221,.0066812336
2007,331221,.14276549
2008,331221,-.025237858
2009,331221,-.015143752
2010,331221,.081355929
2011,331221,-.020451903
2012,331221,-.034627736
2013,331221,.07984668
2014,331221,-.0020243526
2015,331221,-.048425972
2001,331315,.057971865
2002,331315,.083988726
2003,331315,.006895721
2004,331315,.1569699
2005,331315,-.089848876
2006,331315,.43497521
2007,331315,-.21776545
2008,331315,.2376976
2009,331315,-.46189523
2010,331315,-.020749569
2011,331315,.05967319
2012,331315,-.1930145
2013,331315,-.04787299
2014,331315,.11034927
2015,331315,-.040362358
2001,331420,-.052056819
2002,331420,-.011406213
2003,331420,-.0068000853
2004,331420,-.049833924
2005,331420,.0070680678
2006,331420,.0068113804
2007,331420,.0087450445
2008,331420,.048175424
2009,331420,.02517572
2010,331420,-.031566918
2011,331420,-.0047028661
2012,331420,.021959007
2013,331420,.066917807
2014,331420,-.022944599
2015,331420,-.037805587
2001,332111,.11552751
2002,332111,-.11199263
2003,332111,.17602769
2004,332111,-.029056489
2005,332111,-.012295365
2006,332111,.013490677
2007,332111,.13714725
2008,332111,-.068522394
2009,332111,-.0035796165
2010,332111,.06229943
2011,332111,.03741312
2012,332111,.068790615
2013,332111,.018728733
2014,332111,.017092109
2015,332111,.021957695
2001,332216,.067896187
2002,332216,.0057445765
2003,332216,-.0082859993
2004,332216,-.026063085
2005,332216,-.03006506
2006,332216,.031922638
2007,332216,.057335734
2008,332216,-.017345369
2009,332216,-.01530093
2010,332216,-.0084821582
2011,332216,-.02923739
2012,332216,-.012125432
2013,332216,.013409495
2014,332216,.011957943
2015,332216,.02273339
2001,332312,.0027958155
2002,332312,.0094064921
2003,332312,.028865948
2004,332312,.009764567
2005,332312,-.017065391
2006,332312,-.0071427226
2007,332312,-.019576907
2008,332312,.00021956861
2009,332312,.087606296
2010,332312,.064159483
2011,332312,.01157257
2012,332312,.10448962
2013,332312,.098973304
2014,332312,-.094848722
2015,332312,-.10559079
2001,332313,.10606888
2002,332313,.13650328
2003,332313,.0027167201
2004,332313,.0037474036
2005,332313,-.0060467124
2006,332313,.49902254
2007,332313,0
2008,332313,0
2009,332313,0
2010,332313,0
2011,332313,0
2012,332313,0
2013,332313,0
2014,332313,0
2015,332313,0
2001,332321,.059618384
2002,332321,.0058672726
2003,332321,.015963852
2004,332321,.055671781
2005,332321,-.029744387
2006,332321,.0074471235
2007,332321,.077748686
2008,332321,-.14626265
2009,332321,.023263723
2010,332321,.0031986237
2011,332321,.038576007
2012,332321,-.00099018216
2013,332321,-.05200541
2014,332321,.013199776
2015,332321,-.018980682
2001,332410,-.016881347
2002,332410,.018234372
2003,332410,.011252284
2004,332410,.25474358
2005,332410,0
2006,332410,0
2007,332410,0
2008,332410,-.25080526
2009,332410,-.15252632
2010,332410,-.11641341
2011,332410,.27869356
2012,332410,.058949232
2013,332410,.014354944
2014,332410,.028385937
2015,332410,.058304727
2001,332431,-.0036459565
2002,332431,.010281861
2003,332431,-.042565793
2004,332431,.026979089
2005,332431,.031048536
2006,332431,-.069691151
2007,332431,.034119725
2008,332431,.033576816
2009,332431,-.0016297996
2010,332431,.00080534816
2011,332431,-.0021781921
2012,332431,-.0017350614
2013,332431,-.0026250184
2014,332431,-.058396667
2015,332431,-.038431495
2001,332613,0
2002,332613,0
2003,332613,0
2004,332613,0
2005,332613,0
2006,332613,0
2007,332613,0
2008,332613,0
2009,332613,-1.1920929e-07
2010,332613,1.1920929e-07
2011,332613,0
2012,332613,0
2013,332613,0
2014,332613,0
2015,332613,-1.1920929e-07
2001,332912,.01295048
2002,332912,.011923194
2003,332912,-.10948211
2004,332912,-.02027607
2005,332912,.0038755536
2006,332912,.0054222941
2007,332912,-.0092582703
2008,332912,.017812848
2009,332912,-.0088801384
2010,332912,-.018427789
2011,332912,.021333933
2012,332912,.010668397
2013,332912,-.023138404
2014,332912,-.0010814667
2015,332912,.00086551905
2001,332913,0
2002,332913,-1.1920929e-07
2003,332913,1.1920929e-07
2004,332913,0
2005,332913,0
2006,332913,0
2007,332913,0
2008,332913,0
2009,332913,0
2010,332913,0
2011,332913,0
2012,332913,0
2013,332913,0
2014,332913,0
2015,332913,0
2001,332919,0
2002,332919,0
2003,332919,0
2004,332919,0
2005,332919,-1.1920929e-07
2006,332919,1.1920929e-07
2007,332919,0
2008,332919,0
2009,332919,0
2010,332919,0
2011,332919,0
2012,332919,0
2013,332919,-1.1920929e-07
2014,332919,0
2015,332919,1.1920929e-07
2001,332991,.0056308508
2002,332991,.019902676
2003,332991,-.0068660676
2004,332991,.023221403
2005,332991,.017223477
2006,332991,.01838237
2007,332991,.0099294782
2008,332991,-.024970502
2009,332991,-.021426409
2010,332991,-.0096648633
2011,332991,-.017245442
2012,332991,.0095990598
2013,332991,.02622357
2014,332991,.0049577653
2015,332991,-.0079663396
2001,332993,0
2002,332993,0
2003,332993,0
